Top queries,Clicks,Impressions,CTR,Position
street lawyer services,821,1427,57.53%,1.1
dispensary near me,349,6734,5.18%,7.68
street lawyer services dc,187,320,58.44%,1.27
sls baltimore,129,465,27.74%,2.67
sls dc weed dispensary,109,527,20.68%,1.21
street lawyer,78,349,22.35%,11.48
sls dispensary,73,292,25%,1.66
sls dc,70,266,26.32%,1.45
dc dispensary,57,1540,3.70%,32.34
weed dispensary,57,426,13.38%,9.32
street lawyer services baltimore,47,120,39.17%,2.09
street lawyer dispensary,47,115,40.87%,1.31
street lawyers dc,46,70,65.71%,1.19
street lawyers dispensary,44,117,37.61%,1.06
street lawyer dc,43,101,42.57%,1.06
sls dispensary dc,41,125,32.80%,1.04
sls weed dispensary dc,40,88,45.45%,1
street lawyers,38,146,26.03%,2.9
weed near me,37,202,18.32%,9.96
dispensaries near me,32,642,4.98%,17.68
sls dispensary baltimore,32,110,29.09%,2.63
dc street lawyer,32,50,64%,1
street lawyer services dispensary,29,57,50.88%,1
dispensary,27,542,4.98%,17.64
street lawyer services - baltimore location,27,57,47.37%,1.07
recreational dispensary near me,25,291,8.59%,13.86
streetlawyer,25,51,49.02%,4.24
dispensaries in dc,22,537,4.10%,25.88
sls baltimore cannabis dispensary,22,101,21.78%,2.17
weed dispensary near me,20,245,8.16%,10.95
street lawyer services dispensary dc,20,45,44.44%,1.36
weed dispensary dc,19,702,2.71%,33.24
dispensaries in baltimore,19,273,6.96%,39.9
street lawyer services baltimore dispensary,19,55,34.55%,2.24
"sls dc weed dispensary washington, dc",19,44,43.18%,1
dispensary dc,18,1052,1.71%,59.65
sls baltimore dispensary,18,50,36%,2.64
street lawyer service,18,39,46.15%,4.33
dispensary near me open,15,140,10.71%,8.79
dispensary washington dc,14,831,1.68%,51.05
dispensary h street ne dc,14,231,6.06%,3.36
cannabis dispensary near me,14,207,6.76%,15.35
weed dispensary near me now open,14,119,11.76%,7.45
dispensary in dc,13,764,1.70%,28.36
sls dispensary & weed delivery dc,12,39,30.77%,1.05
dc weed dispensary,11,244,4.51%,30.5
sls dc weed dispensary washington,11,64,17.19%,1.03
sls,10,1343,0.74%,8.45
dc dispensaries,10,736,1.36%,61.23
baltimore dispensary,10,648,1.54%,28.75
dispensary baltimore,10,516,1.94%,31.47
lonny the street lawyer,10,84,11.90%,6.9
weed store near me,10,46,21.74%,5.61
street lawyers dispensary dc,10,29,34.48%,1
h st dispensary,9,179,5.03%,4.58
dispensary on h street,9,126,7.14%,4.53
washington dc dispensary,8,1051,0.76%,47.67
weed in dc,8,606,1.32%,63.33
weed dispensary washington dc,8,599,1.34%,36.91
washington dc dispensaries,8,576,1.39%,31.64
dispensaries dc,8,300,2.67%,34.7
weed dispensary h street,8,31,25.81%,3.29
dispensaries in washington dc,7,492,1.42%,37.36
dispensary h st,7,118,5.93%,3.91
dispensary h st washington dc,7,75,9.33%,3.85
california gold gummies 500mg,7,50,14%,5.82
street legal services,7,21,33.33%,15.29
dispensary in washington dc,6,667,0.90%,56.38
weed shop dc,6,450,1.33%,52.92
dispensaries washington dc,6,286,2.10%,38.61
weed dispensary in dc,6,272,2.21%,44.03
dispensary h street,6,117,5.13%,5.29
rehab premium live resin,6,104,5.77%,6.49
cannabis near me,6,86,6.98%,26.07
dispensary on h st,6,59,10.17%,4.22
baltimore recreational dispensary,6,56,10.71%,46.61
weed dispensaries in dc,6,41,14.63%,17.17
washington dc recreational dispensary menu,6,37,16.22%,9.89
weed dispensary in washington dc,5,387,1.29%,45.5
dispensary in baltimore,5,265,1.89%,42.55
sls cannabis,5,217,2.30%,8.51
weed shops in dc,5,139,3.60%,48.26
recreational dispensary dc,5,96,5.21%,42.25
dispensary near me open now,5,69,7.25%,6.19
best dispensary baltimore,5,56,8.93%,29.57
weed shops near me,5,39,12.82%,10.38
street lawyer services nyc,5,33,15.15%,3.09
baltimore dispensary recreational,5,26,19.23%,27.35
dispensary near me within 0.5 mi,5,24,20.83%,1.83
dc weed,4,595,0.67%,76.18
weed dc,4,586,0.68%,69.16
dispensary downtown baltimore,4,248,1.61%,29.45
dc weed shops,4,150,2.67%,40.41
weed shops dc,4,129,3.10%,45.73
h st ne dispensary,4,83,4.82%,3.22
cali gold gummies,4,69,5.80%,3.58
weed dispensaries near me,4,59,6.78%,26.41
weed shop near me,4,44,9.09%,3.39
maryland dispensary,4,33,12.12%,25.33
weed dispensary washington,4,28,14.29%,16.21
